# Vehicle routing code - Data File - Subsection 6.8
# Tour for warehouse 11
# MA424 Final project - 2019/20
# Author: 46286

param F := 1;
param C := 12;

set coordinates := east north;

param location : east north :=
0	-0.3211834	0.8528945
1	-0.943061358	-0.04613671
2	-1	-0.78410027
3	-0.932384403	-0.13707494
4	-0.068142852	0.36808082
5	0.599954078	-0.16330501
6	0.382905454	0.83327072
7	0	0.3255738
8	-0.751052757	-0.89153055
9	-0.153815416	0.17623964
10	0.020876365	-0.95753629
11	0.417681122	-0.68694653
12	-0.937787741	0.04409282; 
